,관광지명,검색명,분류,주소,좌표(x),좌표 (y),봄,여름,가을,겨울,여자,남자,10대,20대,30대,40대,50대,60대,운영시간,주차장소,소요시간,사진,설명,휴일,전화번호,홈페이지
0,가나아트센터,가나아트센터,A02060500,서울특별시 종로구 평창30길 28,126.9751811398,37.6122099878,34.0,25.0,22.0,19.0,67.0,33.0,0.0,2.0,11.0,33.0,32.0,23.0,10:00~19:00,주차 가능,,http://tong.visitkorea.or.kr/cms/resource/19/1570619_image3_1.jpg,"1983년에 개관한 가나아트갤러리는 국내외 3백여 회의 기획전시 및 대규모 국제미술전 참가를 비롯한 미술문화의 발전과 미술 국제화를 위한 노력을 계속해오고 있다. 이러한 노력을 통해 가나아트갤러리는 미국 및 유럽 등 전 세계 미술 시장에서 세계 최고의 화랑들과 어깨를 나란히 견주어 당당히 인정받고 있다.<br /> 
지난 20여 년간 수 십 여 차례의 국제아트페어/FIAC 참가(1985), 가나판화공방 개소(1987), 도서출판 가나아트 출범(1988), 파리 가나-보브르/Gana-Beaubourg개관(1995), 가나미술연구소(1996), 아트샵 개관(1997),  파리 국제공동체/cite des arts 참여(1996), 도예공방/양평 개소(1997), 작가 작업장/안성 설치(1997),  가나아트센터 개관(1998), (주)서울경매 출범(1999),(주)가나아트닷컴 출범(1999), 인사아트센터 개관(2000), 가나아뜰리에 개관(2001), 가나아카데미/인사동 설립(2002), 에꼴 드 가나/평창동 개원(2002) 등을 실현함으로써 미술선진화를 선도하고 있다. <br />
가나아트갤러리의 전시는 개인초대전에서 작고거장의 유작전, 주제기획전 등 다양한 형식과 장르를 아우르며, 동서를 가로지르고 고금을 꿰뚫는 폭넓은 시야로 고미술과 현대미술 전시 등 통일성과 다양성을 구현해오고 있다. 한편, 가나아트갤러리는 전시기획 및 아카데미강좌 개설 등과 더불어 전시와 연계한 음악, 무용, 연극, 마임 등 타 장르와의 연계 프로젝트 추진을 통해 보다 다양해진 관람객의 문화향수욕구에 부응하고자 하였다.",연중무휴,가나아트센터 02-720-1020,http://www.ganaart.com
1,가람화랑,가람화랑,A02060500,서울특별시 종로구 인사동10길 11,126.98560348790001,37.5742756967,7.0,36.0,57.0,0.0,58.0,42.0,0.0,1.0,10.0,42.0,23.0,24.0,10:00~17:00,인근 유료주차장 이용,,http://tong.visitkorea.or.kr/cms/resource/14/1394214_image3_1.jpg,"가람화랑은 근대미술을 재조명하는 전시를 시작으로 개관하였다. 전문미술인이 경영하는 화랑으로서 형상미술을 위주로 하는 작가들을 중심으로  기획전과 초대전을 개최하고 있다. 근.현대미술의 수준높은 주요작품들이 전시, 판매되고  있으며, 특히 구상성 짙은 작품들을 용이하게 관람할 수 있다. 인사동이라는 대중과의 원활한 접촉이 이루어지는 지리적 조건을 갖추고 있어 초보 컬렉터들도 작품감상 및 작품 컬렉션에 관한 자문을 구할 수 있다. 대표작가로는 민정기, 한애규, 박고석, 김창세, 장영숙, 이철주, 송창, 이희중 등의 중견 작가들이 있다.<br /><br />일반 대중이 쉽게 미술과 문화에 접근하는 데에 심혈을 기울이고 있는 가람화랑은 직장인들과  중산층 컬렉터들이 가장 편하게 드나들 수 있는 평범함을 갖고 있다. 뿐만 아니라 대가들과 중진들의 작품을 접해 본 경험이 많이 있는 초보 컬렉터들의 길잡이로서도 더할  나위없다. 안창, 민정기, 이철주 등 3대작가의 작품이 전시되어 있으며, 또한 눈과 마음에 부담을 주지 않는 편한 작품들도 감상할 수 있다는 게 장점이다.<br>",일요일 및 공휴일(기획·초대전의 전시기간 중 무휴),가람화랑 02-732-6170,https://blog.naver.com
2,가톨릭대학교 성신교정도서관,가톨릭대학교 성신교정도서관,A02060900,서울특별시 종로구 창경궁로 296-12,127.0043347827,37.5859580079,12.0,20.0,39.0,29.0,77.0,23.0,0.0,3.0,9.0,28.0,32.0,28.0,"[대출실] 학기중 09:00~17:00(토요일12:00) / 방학중 09:00~17:00<br />
[자료실] 학기중 08:30~18:00(토요일12:30) / 방학중 08:30~17:00<br />
[연학실] 학기중 08:30~22:00(토요일22:00) / 방학중 08:30~22:00<br />
[복사실] 학기중 09:00~17:30(토요일12:00) / 방학중 09:00~17:00",주차 가능,,http://tong.visitkorea.or.kr/cms/resource/38/1894738_image3_1.jpg,"한국 교회를 이끌어 갈 성직자 양성과, 가톨릭 교육의 최고 기관으로서의 역할을 다하기 위해서 제반연구에 필요한 자료를 수집, 보존, 관리하여 교수와 학생들에게 연구 자료에 관한 정보를 제공하고 있다. 현재의 도서관 건물은 1995년에 준공된 건물로서 지하 1층, 지상 3층 연건평 800여 평의 현대식 건물이다.<br /> 
도서관 내에는 사서실, 전산실, 대출실, 참고열람실, 자유열람실, 정부간행물 및 대학논문실, 귀중 도서실, 일반 도서실, 시청각자료실, 연속간행물실, 학위논문실 등이 있으며, 현재의 장서 수는 157,000여 권으로 그 중 종교관계 도서가 약 50%를 차지하고 있다.<br>","법정공휴일, 방학 중 토요일, 부활절 다음 월요일, 개교기념일(5/25), 자료점검기간 등 도서관 사정에 따라 관장의 승인하에 결정",성신교정도서관 02-740-9720,http://lib.catholic.ac.kr
3,가회민화박물관,가회민화박물관,A02060100,서울특별시 종로구 북촌로 52,126.9852144301,37.5814804075,15.0,49.0,6.0,30.0,57.0,43.0,0.0,2.0,13.0,38.0,31.0,16.0,"3월~11월 10:00~18:00<br />
12월~2월 10:00~17:00<br />
※ 관람 시 종료 40분 전까지 입장<br />
※ 체험 시 종료 1시간 전까지 입장",없음,,http://tong.visitkorea.or.kr/cms/resource/75/2550575_image2_1.jpg,"우리 겨레는 반만년이라는 유구한 세월 동안 외래문화를 수용하면서도 전통문화의 주체성과 독자성을 잘 지켜왔다. 그러나 오늘날 산업이 발달하고 생활양식이 급변하면서 우리의 전통문화는 점차 퇴색되어만 가고 있다. 이러한 시점에서 우리 민족의 전통유산인 민화를 체계적으로 연구하고 전시하여 훌륭한 문화유산을 느끼는 일은 매우 중요하다. 가회민화박물관은 우리의 소중한 문화유산을 일깨우기 위해 선조들의 삶과 지혜가 담겨 있는 민화와 부적을 좀 더 깊이 있게 연구하여 그 소중함을 일깨우고자 하는 데 설립 목적을 두고 있다.<br> 
2002년에 문을 연 가회민화박물관에서 전시하고 있는 민화는 우리의 삶과 닮아 있는 그림이며, 무병장수(無病長壽), 부귀다남(富貴多男), 부귀공명(富貴功名) 등 인간의 소박한 바람이 담겨 있다. 한편 벽사적인 의미를 담고 있는 민화를 통해 사람들은 그려진 소재의 주술적인 힘이 여러 가지 재앙으로부터 보호해주고 소원도 이루어준다고 믿었다.<br>",매주 월요일,가회민화박물관 02-741-0466,http://www.gahoemuseum.org
4,간송미술관(서울 보화각),간송미술관,A02060500,서울특별시 중구 을지로 281,127.0103125191,37.568196291599996,0.0,100.0,0.0,0.0,37.0,63.0,0.0,2.0,7.0,30.0,46.0,15.0,"10:00~19:00 평일, 주말, 공휴일<br />
10:00~21:00 금요일, 토요일",주차 가능,,http://tong.visitkorea.or.kr/cms/resource/18/2384418_image2_1.jpg,"※ 복원공사로 인해 임시휴관<br /><br />간송미술관은 우리나라 최초의 사립미술관으로, 간송 전형필 선생이 1938년 보화각(葆華閣)이라는 이름으로 개관한 후 1966년 간송미술관으로 재편되었다. 보화각은 2019년 12월30일 국가등록문화재 제768호 지정되었다.  설립자 간송 전형필은 일제강점기, 식민지배를 위해 의도적으로 평가절하되고 말살되어가던 우리나라 문화의 우수성과 아름다움을 후세에도 널리 알리고자 우리나라를 대표할 만한 유물들을 연구하며 지켰다. 간송미술관은 국보 11점, 보물 24점 등을 보유하고 있으며, 소장품들은 동대문디자인플라자(DDP)에서 열리는 '간송문화전'을 통해 만나볼 수 있다.<br>",매주 월요일,070-7774-2524,http://www.kansong.org
5,감로암(서울),감로암,A02010800,서울특별시 종로구 율곡로23길 16,127.00660154459999,37.5753148419,36.0,30.0,31.0,4.0,51.0,49.0,0.0,3.0,16.0,40.0,27.0,14.0,,,None,http://tong.visitkorea.or.kr/cms/resource/85/2031885_image3_1.jpg," 동대문에서 대학로로 들어가는 율곡로 대로변에 자그마한 사찰이 있다. 그 이름도 특이하게 목마른 중생에게 구제의 감로를 준다는'감로암'이다. 도심 속 삭막한 빌딩 숲 사이에 아직 개발되지 않은 주택가 그 곳에 정말 도심에서 보기 힘든 자그마한 암자가 있다. 규모로 보나 사세로 보나 정말 암자의 수준이지만, 그 역사는 벌써 100여년이 흘렀다. 가람은 대로변에서 주택가로 나 있는 골목길을 따라 들어서면 보이는 곳에, 여느 주택과 별반 차이없이 건물을 지어 불상을 봉안하고 예배하고 있다. 하지만 여법하게 산문을 만들고 단청을 하며, 기와를 엮어 고풍스런 가람의 멋을 느끼게 한다.옛부터 관음영험도량으로 알려진 감로암은 동네 어르신들, 특히 할머니들의 다담방, 기도처로 알려져 있다. 감로암은 사찰의 이름처럼 누군가 구제 받을 수 있고, 고통에서 벗어날 수 있는 감로가 있는 곳이다. 지금은 마시지 못하지만 보타전 아래에는 여전히 그 옛날 감로의 맛을 느끼게 했던 감로가 흐르고 있다.<br>",연중무휴,02-762-5861,
6,강남,강남,A02030600,서울특별시 강남구 역삼동,127.02815735370001,37.4970465429,24.0,26.0,31.0,20.0,64.0,36.0,0.0,1.0,3.0,17.0,28.0,51.0,24시간,주차 가능,None,http://tong.visitkorea.or.kr/cms/resource/08/1984608_image3_1.jpg,"강남역 주변은 강남 지역에 있어서 교통의 핵심인 곳이다. 강남대로를 중심으로 동쪽으로는 테헤란로가 뻗어 있어 잠실 방향과 이어지며, 서쪽으로는 사당 방면으로 연결된다. 교보타워 사거리에서 좌측으로는 고속터미널과 이어져 노량진 및 서부 서울로 연결되며, 그대로 북쪽으로는 한남대교를 거쳐 강북으로 연결된다. 그리고 남쪽으로는 양재를 거쳐 분당 등의 신도시와 성남시 등 수도권으로 연결된다. 많은 유동인구가 강남역으로 모이는 이유는 강남역 부근이 만남을 위한 약속장소로 적합하기 때문이다. 각종 모임이나 행사 또는 개인적인 만남을 갖기에 좋은 지역적, 상권적 특성을 지니고 있다. 따라서 평일에는 주로 저녁 시간대, 주말의 경우는 낮부터 강남역 10, 11번 출구, 롯데시네마 앞(구,시티극장), 지오다노 매장 앞 등에서 많은 사람들로 붐비는 것을 흔히 볼 수 있다.<br /><br />편리한 교통과 다수의 패션관련 매장, 극장, 대형서점 등 소비를 하기 좋은 이러한 환경이 거리가 먼 지역의 소비자들까지 강남역으로 모이게 하고 있다. 강남구에서는 내ㆍ외국인 관광객에게 종합관광서비스는 물론, 강남구의 우수 인프라인 의료와 한류에 대하여 보고, 느끼고, 즐길 수 있는 체험형 관광거점시설인 강남관광정보센터를 건립ㆍ운영하고 있으며, 강남관광정보센터는 서울과 강남의 주요 관광명소를 안내하고 관광객 편의시설을 갖춘 ‘종합관광안내센터’와 강남구 특화 병원과 진료 프로그램을 소개하고 체험할 수 있는 ‘메디컬투어센터’,  한류 스타를 활용하여 다양한 한류체험이 가능한 ‘한류체험관’으로 구성되어있다.<br>",,02-3445-0111,http://www.gangnam.go.kr
7,강남문화원,강남문화원,A02060700,서울특별시 강남구 테헤란로8길 36,127.0320236842,37.4964911212,23.0,56.0,13.0,8.0,61.0,39.0,0.0,1.0,5.0,27.0,31.0,36.0,09:00~18:00,주차 가능,,http://tong.visitkorea.or.kr/cms/resource/87/1807787_image3_1.jpg," 강남문화원은 개원 이래 30여 문화강좌를 개설하고 미술, 서예, 독서, 생활수기, 전통예술제를 비롯한 각종 문화행사를 통하여 구민이 한마음 되도록 하고 강남구를 문화의 고장으로 발전시켜 지역사회개발과 나라발전에 기여할 것을 목적으로 화합의  문화를 열어 가도록 노력하고 있다.<br>","토요일, 일요일, 공휴일",강남문화원 02-3454-1517,http://www.sgnc.or.kr
8,강동문화원,강동문화원,A02060700,서울특별시 강동구 상암로 168,127.14121235,37.5457151498,0.0,1.0,99.0,0.0,45.0,55.0,0.0,1.0,13.0,46.0,24.0,16.0,09:00~18:00,주차 가능,,http://tong.visitkorea.or.kr/cms/resource/92/1865292_image3_1.jpg,"강동문화원은 지방문화원 진흥법에 의거, 1999년 1월 29일 서울특별시로부터 설립인가를 받아 강동구지역 문화의 개발, 보급, 보존, 전승 및 선양을 위하여 설립 되었다. 1999년 설립되어 그동안 운영이 미진하였으나 2005년 새로운 임원진 구성과 함께 강동구 일원 지표조사를 실시하는 등 활발한 활동을 하고 있다.<br>","토요일, 일요일, 법정공휴일","강동문화원 02-488-0386, 02-3425-6994",http://www.gdcc.or.kr
9,강동선사문화축제 2020,강동선사문화축제 ,A02070200,온라인개최,,,26.0,23.0,26.0,26.0,65.0,35.0,0.0,2.0,13.0,44.0,27.0,14.0,None,None,기간내자유,http://tong.visitkorea.or.kr/cms/resource/34/2674234_image2_1.jpg,"<b>※ 코로나바이러스감염증-19 공지사항<br>※ 내용 : 온라인개최</b><br><u><a href=""https://korean.visitkorea.or.kr/notice/news_detail.do?nwsid=8cdd65e1-59f1-4904-8bc9-884001e40911"" title=""여행정보 변동사항 페이지로 이동"">→ 코로나바이러스감염증-19 여행정보 변동사항 확인하기</a></u><br><br><강동선사문화축제>는 6,000년 전 신석기인들의 숨결이 서려있는 암사동 유적(국가사적 267호)에서 매년 10월에 개최된다. 1996년 시작해 해마다 테마를 정해 축제에 새로운 색감을 더하여 해마다 발전을 거듭하고 있다.",None,02-3425-5245,https://culture.gangdong.go.kr
